=== PROPAGATION RESEARCH RESULTS ===
Generated: 2026-09-12 22:30:59
Source: Background research agent b36f6a4f-88ac-4418-8256-00dd6345c5bb

Format: filename | common_name | latin_name | propagation_method

---RESEARCH DATA---
acer-palmatum-crimson-queen | Japanese Maple 'Crimson Queen' | Acer palmatum 'Crimson Queen' | Not applicable
acer-palmatum-inaba-shidare | Japanese Maple 'Inaba Shidare' | Acer palmatum 'Inaba Shidare' | Not applicable
acer-palmatum-tamukeyama | Japanese Maple 'Tamukeyama' | Acer palmatum 'Tamukeyama' | Not applicable
achillea-millefolium-new-vintage-red | Yarrow 'New Vintage Red' | Achillea millefolium 'New Vintage Red' | Divide in spring
achillea-millefolium-tutti-frutti | Yarrow 'Tutti Frutti' | Achillea millefolium 'Tutti Frutti' | Divide in spring
acorus-calamus-variegatus | Sweet Flag 'Variegatus' | Acorus calamus 'Variegatus' | Divide clumps in spring
actaea-racemosa | Bugbane | Actaea racemosa | Divide rhizomes in spring
agastache-kudos-mandarin | Anise Hyssop 'Kudos Mandarin' | Agastache 'Kudos Mandarin' | Divide in spring
allium-avatar | Ornamental Onion 'Avatar' | Allium 'Avatar' | Divide bulb offsets in fall
allium | Ornamental Onion | Allium | Divide bulb offsets in fall
anacis-verticillata-zagreb | Knapweed 'Zagreb' | Centaurea sp. 'Zagreb' | Divide in spring or fall
aquilegia-canadensis | Columbine | Aquilegia canadensis | Readily grown from seed
aster | Aster | Aster sp. | Divide in spring
astilbe-arendsii-amethyst | Astilbe 'Amethyst' | Astilbe x arendsii 'Amethyst' | Divide in spring or fall
astilbe-chinensis-dark-side-of-the-moon | Astilbe 'Dark Side of the Moon' | Astilbe chinensis 'Dark Side of the Moon' | Divide in spring or fall
astilbe-chinensis-visions | Astilbe 'Visions' | Astilbe chinensis 'Visions' | Divide in spring or fall
astilbe | Astilbe | Astilbe sp. | Divide in spring or fall
avens | Avens/Geum | Geum sp. | Divide in spring
baptisia-decadence-lemon-meringue | False Indigo 'Lemon Meringue' | Baptisia 'Decadence Lemon Meringue' | Softwood cuttings in late spring
bee-balm | Bee Balm 'Balmy Rose' | Monarda didyma 'Balbalmose' | Divide in spring
bigleaf-hydrangea | Bigleaf Hydrangea | Hydrangea macrophylla | Layering
blanket-flower | Blanket Flower | Gaillardia sp. | Readily grown from seed
calendula-officinalis-geisha-girl | Calendula 'Geisha Girl' | Calendula officinalis 'Geisha Girl' | Readily grown from seed
catmint | Catmint | Nepeta x faassenii | Divide in spring
cercis-canadensis-flame-thrower | Redbud 'Flame Thrower' | Cercis canadensis 'Flame Thrower' | Not applicable
cercis-canadensis | Redbud | Cercis canadensis | Seed after cold stratification
chamaecyparis-pisifera-golden-mop | Sawara Cypress 'Golden Mop' | Chamaecyparis pisifera 'Golden Mop' | Semi-hardwood cuttings
clustered-bellflower | Clustered Bellflower | Campanula glomerata | Divide in spring or fall
